Formula_ID,Formula,Component_Metric_IDs,Units,Signs,Scope,Accounting_Basis,Period_Rule,Analytical_Metric_ID,Operation_Type,Absolute_Value_Rule,Sign_Rule,Temporal_Rule,Minimum_Year,Execution_Order
F_NWC,SUM(operating assets)-SUM(operating liabilities),BS_AR|BS_INVENTORY|BS_CONTRACT_ASSETS|BS_PREPAYMENTS|BS_OTHER_RECEIVABLES|BS_AP|BS_CONTRACT_LIABILITIES|BS_NOTES_PAYABLE|BS_EMPLOYEE_COMP|BS_OTHER_PAYABLES|BS_TAXES_PAYABLE,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_OPERATING_NWC,SIGNED_SUM,NONE,SOURCE_SIGN,CURRENT_YEAR,2020,1
F_DEBT,short debt+current portion+long debt,BS_SHORT_TERM_BORROWING|BS_CURRENT_PORTION_DEBT|BS_LONG_TERM_BORROWINGS,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_GROSS_DEBT,SIGNED_SUM,NONE,SOURCE_SIGN,CURRENT_YEAR,2020,2
F_IC,debt+equity-nonoperating assets,AN_GROSS_DEBT|BS_TOTAL_EQUITY|BS_CASH|BS_RESTRICTED_CASH|BS_TERM_DEPOSITS|BS_LONG_TERM_INVESTMENTS|BS_TRADING_FINANCIAL_ASSETS,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_INVESTED_CAPITAL,SIGNED_SUM,NONE,SOURCE_SIGN,CURRENT_YEAR,2020,3
F_NOPAT,operating profit*(1-abs(income tax/PBT)),IS_OPERATING_PROFIT|IS_INCOME_TAX|IS_PBT,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_NOPAT,TAX_ADJUSTED_OPERATING_PROFIT,NONE,SOURCE_SIGN,CURRENT_YEAR,2020,4
F_NET_MARGIN,net profit/revenue,IS_NET_PROFIT|IS_TOTAL_REVENUE,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_NET_MARGIN,DIVIDE,NONE,SOURCE_SIGN,CURRENT_YEAR,2020,5
F_CFO_MARGIN,CFO/revenue,CF_CFO|IS_TOTAL_REVENUE,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_CFO_MARGIN,DIVIDE,NONE,SOURCE_SIGN,CURRENT_YEAR,2020,6
F_ROA,net profit/total assets,IS_NET_PROFIT|BS_TOTAL_ASSETS,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_ROA,DIVIDE,NONE,SOURCE_SIGN,CURRENT_YEAR,2020,7
F_ROE,net profit/total equity,IS_NET_PROFIT|BS_TOTAL_EQUITY,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_ROE,DIVIDE,NONE,SOURCE_SIGN,CURRENT_YEAR,2020,8
F_DNWC,NWC_t-NWC_t-1,AN_OPERATING_NWC[t]|AN_OPERATING_NWC[t-1],GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_DELTA_NWC,CHANGE,NONE,SOURCE_SIGN,CURRENT_AND_PRIOR,2021,9
F_FCFF,NOPAT+D&A-abs(Capex)-DeltaNWC,AN_NOPAT|NOTE_TOTAL_DA|CF_CAPEX|AN_DELTA_NWC,GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_FCFF,SIGNED_SUM,CAPEX_ABSOLUTE_SUBTRACT,SOURCE_SIGN,CURRENT_YEAR,2021,10
F_ROIC,"NOPAT/average(IC_t-1,IC_t)",AN_NOPAT|AN_INVESTED_CAPITAL[t]|AN_INVESTED_CAPITAL[t-1],GOVERNED,EXPLICIT,GROUP_CONSOLIDATED,CAS,FY_FLOW_OR_YEAR_END_STOCK,AN_ROIC,DIVIDE_BY_AVERAGE_OPEN_CLOSE,NONE,SOURCE_SIGN,CURRENT_AND_PRIOR,2021,11
