Analytical_Fact_ID,Yearly_Authority,Golden_Truth_Fact_IDs,Canonical_Metric_ID,Formula_ID,Unit_Conversion,Restatement_Decision,Accounting_Basis_Decision
2020::AN_OPERATING_NWC,golden_truth/2020/CURRENT_RELEASE_AUTHORITY.json,G1R2020-0032|G1R2020-0035|G1R2020-0034|G1R2020-0082|G1R2020-0083|G1R2020-0046|G1R2020-0047|G1R2020-0045|G1R2020-0048|G1R2020-0050|G1R2020-0049,AN_OPERATING_NWC,F_NWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2020::AN_GROSS_DEBT,golden_truth/2020/CURRENT_RELEASE_AUTHORITY.json,G1R2020-0044|G1R2020-0051|G1R2020-0053,AN_GROSS_DEBT,F_DEBT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2020::AN_INVESTED_CAPITAL,golden_truth/2020/CURRENT_RELEASE_AUTHORITY.json,G1R2020-0060|G1R2020-0028|G1R2020-0106|G1R2020-0104|G1R2020-0084|G1R2020-0029,AN_INVESTED_CAPITAL,F_IC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2020::AN_NOPAT,golden_truth/2020/CURRENT_RELEASE_AUTHORITY.json,G1R2020-0020|G1R2020-0022|G1R2020-0021,AN_NOPAT,F_NOPAT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2020::AN_NET_MARGIN,golden_truth/2020/CURRENT_RELEASE_AUTHORITY.json,G1R2020-0023|G1R2020-0001,AN_NET_MARGIN,F_NET_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2020::AN_CFO_MARGIN,golden_truth/2020/CURRENT_RELEASE_AUTHORITY.json,G1R2020-0065|G1R2020-0001,AN_CFO_MARGIN,F_CFO_MARGIN,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2020::AN_ROA,golden_truth/2020/CURRENT_RELEASE_AUTHORITY.json,G1R2020-0023|G1R2020-0043,AN_ROA,F_ROA,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2020::AN_ROE,golden_truth/2020/CURRENT_RELEASE_AUTHORITY.json,G1R2020-0023|G1R2020-0060,AN_ROE,F_ROE,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_OPERATING_NWC,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::BS_AR|2021::BS_INVENTORY|2021::BS_CONTRACT_ASSETS|2021::BS_PREPAYMENTS|2021::BS_OTHER_RECEIVABLES|2021::BS_AP|2021::BS_CONTRACT_LIABILITIES|2021::BS_NOTES_PAYABLE|2021::BS_EMPLOYEE_COMP|2021::BS_OTHER_PAYABLES|2021::BS_TAXES_PAYABLE,AN_OPERATING_NWC,F_NWC,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
2021::AN_GROSS_DEBT,golden_truth/2021/CURRENT_RELEASE_AUTHORITY.json,2021::BS_SHORT_TERM_BORROWING|2021::BS_CURRENT_PORTION_DEBT|2021::BS_LONG_TERM_BORROWINGS,AN_GROSS_DEBT,F_DEBT,RMB_THOUSAND_TO_MILLION_OR_IDENTITY,CURRENT_COMPARABLE,CAS
